

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
148.322  001.492  001.492: sourcing /Users/sleira/.vim_runtime/sources_non_forked/vim-fugitive/plugin/fugitive.vim
149.299  000.333  000.333: sourcing /Users/sleira/.vim_runtime/sources_non_forked/vim-gitgutter/autoload/gitgutter/utility.vim
150.276  000.393  000.393: sourcing /Users/sleira/.vim_runtime/sources_non_forked/vim-gitgutter/autoload/gitgutter/highlight.vim
151.240  002.739  002.013: sourcing /Users/sleira/.vim_runtime/sources_non_forked/vim-gitgutter/plugin/gitgutter.vim
151.700  000.249  000.249: sourcing /Users/sleira/.vim_runtime/sources_non_forked/vim-indent-object/plugin/indent-object.vim
152.136  000.217  000.217: sourcing /Users/sleira/.vim_runtime/sources_non_forked/vim-lastplace/plugin/vim-lastplace.vim
152.852  000.480  000.480: sourcing /Users/sleira/.vim_runtime/sources_non_forked/vim-multiple-cursors/plugin/multiple_cursors.vim
153.576  000.098  000.098: sourcing /Users/sleira/.vim_runtime/sources_non_forked/vim-addon-mw-utils/autoload/funcref.vim
154.030  000.878  000.780: sourcing /Users/sleira/.vim_runtime/sources_non_forked/vim-snipmate/plugin/snipMate.vim
154.377  000.091  000.091: sourcing /Users/sleira/.vim_runtime/sources_non_forked/vim-snippets/plugin/vimsnippets.vim
155.403  000.850  000.850: sourcing /Users/sleira/.vim_runtime/sources_non_forked/vim-surround/plugin/surround.vim
156.822  000.567  000.567: sourcing /Users/sleira/.vim_runtime/sources_non_forked/vim-yankstack/autoload/yankstack.vim
157.339  001.724  001.157: sourcing /Users/sleira/.vim_runtime/sources_non_forked/vim-yankstack/plugin/yankstack.vim
157.657  000.121  000.121: sourcing /Users/sleira/.vim_runtime/sources_non_forked/vim-zenroom2/plugin/zenroom2.vim
157.889  000.043  000.043: sourcing /Users/sleira/.vim_runtime/sources_forked/set_tabline/plugin/set_tabline.vim
158.445  000.302  000.302: sourcing /Users/sleira/.vim_runtime/sources_forked/vim-peepopen/plugin/peepopen.vim
159.090  000.063  000.063: sourcing /usr/local/share/vim/vim82/plugin/getscriptPlugin.vim
159.584  000.378  000.378: sourcing /usr/local/share/vim/vim82/plugin/gzip.vim
159.992  000.331  000.331: sourcing /usr/local/share/vim/vim82/plugin/logiPat.vim
160.115  000.042  000.042: sourcing /usr/local/share/vim/vim82/plugin/manpager.vim
160.444  000.254  000.254: sourcing /usr/local/share/vim/vim82/plugin/matchparen.vim
161.109  000.583  000.583: sourcing /usr/local/share/vim/vim82/plugin/netrwPlugin.vim
161.221  000.014  000.014: sourcing /usr/local/share/vim/vim82/plugin/rrhelper.vim
161.339  000.028  000.028: sourcing /usr/local/share/vim/vim82/plugin/spellfile.vim
161.623  000.155  000.155: sourcing /usr/local/share/vim/vim82/plugin/tarPlugin.vim
161.821  000.102  000.102: sourcing /usr/local/share/vim/vim82/plugin/tohtml.vim
162.096  000.171  000.171: sourcing /usr/local/share/vim/vim82/plugin/vimballPlugin.vim
162.423  000.225  000.225: sourcing /usr/local/share/vim/vim82/plugin/zipPlugin.vim
162.451  007.706: loading plugins
162.542  000.091: loading packages
163.028  000.260  000.260: sourcing /Users/sleira/.vim_runtime/sources_non_forked/vim-snipmate/after/plugin/snipMate.vim
164.190  000.473  000.473: sourcing /Users/sleira/.vim_runtime/sources_non_forked/tabular/autoload/tabular.vim
165.704  002.429  001.956: sourcing /Users/sleira/.vim_runtime/sources_non_forked/tabular/after/plugin/TabularMaps.vim
165.730  000.499: loading after plugins
165.737  000.007: inits 3
165.920  000.183: reading viminfo
165.950  000.030: setting raw mode
165.970  000.020: start termcap
165.990  000.020: clearing screen
168.844  000.053  000.053: sourcing /usr/local/share/vim/vim82/ftplugin/yaml.vim
169.947  000.188  000.188: sourcing /usr/local/share/vim/vim82/indent/yaml.vim
171.767  000.927  000.927: sourcing /usr/local/share/vim/vim82/syntax/yaml.vim
182.872  000.304  000.304: sourcing /Users/sleira/.vim_runtime/sources_non_forked/ctrlp.vim/autoload/ctrlp/utils.vim
190.196  022.734: opening buffers
193.007  000.837  000.837: sourcing /Users/sleira/.vim_runtime/sources_non_forked/lightline.vim/autoload/lightline.vim
193.961  000.078  000.078: sourcing /Users/sleira/.vim_runtime/sources_non_forked/lightline.vim/autoload/lightline/tab.vim
194.941  000.242  000.242: sourcing /Users/sleira/.vim_runtime/sources_non_forked/lightline.vim/autoload/lightline/colorscheme.vim
195.650  001.328  001.086: sourcing /Users/sleira/.vim_runtime/sources_non_forked/lightline.vim/autoload/lightline/colorscheme/wombat.vim
200.057  000.314  000.314: sourcing /Users/sleira/.vim_runtime/sources_non_forked/vim-gitgutter/autoload/gitgutter.vim
200.726  007.973: BufEnter autocommands
200.729  000.003: editing files in windows
202.598  001.869: VimEnter autocommands
202.602  000.004: before starting main loop
212.967  005.452  005.452: sourcing /Users/sleira/.vim_runtime/sources_non_forked/vim-fugitive/autoload/fugitive.vim
215.133  007.079: first screen update
215.135  000.002: --- VIM STARTED ---
